test	lua-5.1.5	lua-5.2.4	lua-5.3.4	
ack	1.0	1.0106382978723	1.0249494268375	
fixpoint-fact	1.0	0.87217724755006	0.93172507965407	
heapsort	1.0	0.67983128834356	1.0497335701599	
mandelbrot	1.0	0.9497287522604	1.1796945193172	
juliaset	1.0	0.90391321193336	1.0648105887723	
queen	1.0	0.82105263157895	1.0067934782609	
sieve	1.0	0.93239227340267	1.2178554099951	
binary	1.0	1.9514442231076	1.3708238586671	
n-body	1.0	0.90884932234919	1.2101910828025	
fannkuch	1.0	0.80147058823529	1.1354166666667	
fasta	1.0	0.93725490196078	0.91483253588517	
k-nucleotide	1.0	0.95159059474412	1.0747201249675	
spectral-norm	1.0	0.93865698729583	0.97695504344541	
