test	lua-5.3.0	lua-5.3.1	lua-5.3.2	lua-5.3.3	lua-5.3.4	
ack	1.0	1.0047169811321	1.0142857142857	1.0205338809035	1.0060728744939	
fixpoint-fact	1.0	0.98553429771349	0.98050139275766	0.94496644295302	0.94538943598926	
heapsort	1.0	0.93150999770168	1.1819772528434	1.2005331753555	1.1812882541533	
mandelbrot	1.0	0.96816037735849	1.1200545702592	1.1439851370181	1.1000446627959	
juliaset	1.0	0.95912698412698	1.0563811188811	1.0431592576608	1.1247091670544	
queen	1.0	0.96021908330931	1.1372482075794	1.1411442274752	1.1318382602786	
sieve	1.0	0.98799039231385	1.1808612440191	1.1963160445952	1.1836930455635	
binary	1.0	1.0183116645303	1.011458712259	1.0568225009502	1.0275314116778	
n-body	1.0	0.96153846153846	1.1900714042843	1.2608069164265	1.2169680111266	
fannkuch	1.0	0.96326981496824	1.2090121317158	1.2183024799162	1.2106907323846	
fasta	1.0	0.96836313617607	1.0004737091426	1.0095602294455	1.0114942528736	
k-nucleotide	1.0	1.0283306017326	1.0588235294118	1.1467362924282	1.1683958499601	
spectral-norm	1.0	0.98923646148671	1.1707802547771	1.1372776488786	1.1320246343341	
