test	lua-5.3.4	luajit-2.0.4-interp	luajit-2.0.4	
ack	1.0	2.5783972125436	11.472868217054	
fixpoint-fact	1.0	2.5550351288056	2.5580304806565	
heapsort	1.0	2.0149880095923	5.3264659270998	
mandelbrot	1.0	2.0203703703704	18.491525423729	
juliaset	1.0	2.186790505676	3.4851973684211	
queen	1.0	2.1812080536913	11.746987951807	
sieve	1.0	1.7278056951424	10.26368159204	
binary	1.0	3.3795359904819	4.3333333333333	
n-body	1.0	2.279702970297	14.854838709677	
fannkuch	1.0	2.1797410510282	8.9158878504673	
fasta	1.0	1.6870474658085	3.460396039604	
k-nucleotide	1.0	1.7326325411335	3.276577355229	
spectral-norm	1.0	2.2377260981912	17.673469387755	
